GSS_CODE,NAME,COUNT,DENSITY,New_Code,Rent_2021
E09000021,Kingston upon Thames,186,4.99179065840036e-06,E09000021,130.28
E09000008,Croydon,429,4.959856592920629e-06,E09000008,124.02
E09000006,Bromley,218,1.4520278848573186e-06,E09000006,116.32
E09000018,Hounslow,408,7.295324210277749e-06,E09000018,125.61
E09000009,Ealing,601,1.0820182493783665e-05,E09000009,129.21
E09000016,Havering,124,1.1036970665398398e-06,E09000016,118.14
E09000017,Hillingdon,284,2.454612492240233e-06,E09000017,125.0
E09000015,Harrow,200,3.963276227410255e-06,E09000015,133.37
E09000005,Brent,731,1.69085210244677e-05,E09000005,127.79
E09000003,Barnet,595,6.858922956660855e-06,E09000003,128.78
E09000022,Lambeth,1069,3.987311978074417e-05,E09000022,119.78
E09000028,Southwark,1141,3.953290131183664e-05,E09000028,123.69
E09000023,Lewisham,593,1.687099398522848e-05,E09000023,110.96
E09000011,Greenwich,574,1.2126571192046392e-05,E09000011,120.65
E09000004,Bexley,128,2.1129004088380844e-06,E09000004,112.22
E09000010,Enfield,257,3.12651340544026e-06,E09000010,123.27
E09000031,Waltham Forest,388,9.99794750854782e-06,E09000031,118.32
E09000026,Redbridge,280,4.96284739713862e-06,E09000026,125.25
E09000029,Sutton,105,2.3946920067788694e-06,E09000029,118.9
E09000027,Richmond upon Thames,399,6.956881627181892e-06,E09000027,123.56
E09000024,Merton,340,9.036606237595853e-06,E09000024,117.14
E09000032,Wandsworth,1062,3.0994482337229275e-05,E09000032,131.04
E09000013,Hammersmith and Fulham,1078,6.574125771731473e-05,E09000013,130.44
E09000020,Kensington and Chelsea,1915,0.0001579531517327,E09000020,128.78
E09000033,Westminster,3067,0.0001427376235361,E09000033,132.97
E09000007,Camden,1705,7.824943080450122e-05,E09000007,134.75
E09000030,Tower Hamlets,1653,8.35779792450734e-05,E09000030,126.71
E09000019,Islington,1013,6.818494255006375e-05,E09000019,128.61
E09000012,Hackney,1314,6.897989881147668e-05,E09000012,121.41
E09000014,Haringey,563,1.9021307087510927e-05,E09000014,121.16
E09000025,Newham,585,1.6159449879244052e-05,E09000025,121.12
E09000002,Barking and Dagenham,156,4.320394983072555e-06,E09000002,118.71
E09000001,City of London,145,4.993240833675088e-05,E09000001,128.55
